year,dispnum,midloc2_location,midloc2_measuringpoint,midloc2_xlongitude,midloc2_ylatitude,midloc2_precision,midloc2_howobtained,midloc2_precision_comment,midloc2_general_comment,priogrid_cell,midloc11_location,midloc11_midlocmeasuringpoint,midloc11_latitude,midloc11_longitude,midloc11_precision
1993,4021,Northern Limit Line (in Yellow Sea; Maritime DMZ Border),Midpoint of Northern Limit Line,125.143,37.1824,5,ArcGIS and EarthWorks,Point along a line,,183491,ROK and the waters just off the ROK coast. Mainly concentrated around the DMZ.,kanghwa,37.75,126.467,4
1993,4022,North Korea (between Pyongyang and DMZ),Midpoint of shortest line between Pyongyang and South Korea Border,126.081,38.4285,5,"ArcGIS, cshapes, latlong.net",Point along a line,,184933,Troops massed between Pyongyang and DMZ.,Sinmak,38.4167,126.233,3
1993,4023,NA,Hsinshe,120.983,24.85,1,MIDLOC1.1,Precise location text,,165482,NA,hsinshe,24.85,120.983,1
1994,4024,Taiping Island,Taiping Island,114.365,10.3778,2,latlong.net,Island,,144589,Taiping Island and the waters surrounding the Spratly Islands,Spratly Islands,8.33333,112,3
1996,4026,Senkaku Islands,Senkaku Islands,123.583,25.8333,3,latlong.net,Island,,166928,In the waters around the Senkaku Islands in the East China Sea,Senkaku,25.75,123.533,4
1995,4027,Nanshan Island,Nanshan Island,115.802,10.7355,2,latlong.net,Island,,145312,In waters near the Nansha Islands,Nanshan Island,10.75,115.817,3
1996,4028,Pag-Asa Islands,Pag-Asa Islands,114.285,11.0533,2,latlong.net,Island,,146029,On the Pag-Asa group of islands in the Spratly Islands,Pag-Asa,7.56667,125.683,3
1993,4029,Gulf of Tonkin,Gulf of Tonkin,107.75,19.75,4,latlong.net,Gulf,,158256,"Gulf of Tonkin, less than 110 KM from the coast of Vietnam",Gulf of Tonkin,20,108,3
1994,4030,Spratly Islands,Spratly Islands,111.917,8.63333,5,latlong.net,Island,,142424,South China Sea around the Spratly Islands,Spratly Islands,8.33333,112,3
1995,4031,"Grand Banks, Atlantic Ocean","Grand Banks, Atlantic Ocean",-50,45,3,latlong.net,Bank,,194661,"The Grand Banks off Newfoundland, Canada. But in international waters.",Point Estimate,47,-57,3
1993,4032,"Kinshasa, DRC","Kinshasa, DRC",15.2663,-4.44193,1,latlong.net,Precise location text,,123511,"Kinshasa, Zaire. Specifically the Gombe district, where the Belgian embassy is",Kinshasa,-4.33333,15.25,1
1994,4035,Pescadore Islands,Pescadore Islands,119.579,23.5712,2,latlong.net,Island,,164040,Taiwanese waters off the Pescadore Islands,Pescadore Islands,23.3333,119.5,5
1993,4038,Cyprus,Centroid of ADM0,33.2218,35.0459,6,ArcGIS and cShapes,State,,180427,Cyprus,Cyprus,35,33,5
1993,4039,"Nicosia, Cyprus","Nicosia, Cyprus",33.3823,35.1856,1,latlong.net,Precise location text,,180427,"Kutuphane Street region, Nicosia , Cyprus",Nicosia,35.1667,33.4167,2
1994,4040,"Ankara, Turkey","Ankara, Turkey",32.8597,39.9334,1,latlong.net,Precise location text,,186906,"Ankara, TUR",Ankara,39.95,32.9,1
1994,4041,Albania (Girokastres [ADM2]),Centroid of ADM2,20.198,40.0662,3,ArcGIS and GADM,ADM2,"Could not locate city in named district. Narrative indicates incident Greeks attacking in Albania, and the coded ADM2 falls on the border with Greece. The city of Peskipia is much further north.",187601,"Peskipia e Siperme area, Ginokaster district, ALB",girokaster,40.0667,20.1333,3
1993,4042,Japan-Russia Border (Territorial Waters),Midpoint of shared (territorial water) border,142.007,45.7095,5,ArcGIS and Marine Regions,Point along a line,Dual event,195765,"Off coast of Hokkaido, JPN; also Shikotan, RUS",Hokkaido,44,143,3
1993,4043,Albania-Yugoslavia (Kosovo [> ADM1]) Border,Midpoint of shared (subnational) border,20.4416,42.2725,5,ArcGIS and GADM,Point along a line,,190481,Border between Kosovo (YUG) and ALB,gusinje,42.55,19.8333,4
1995,4045,"Pristina, Kosovo","Pristina, Kosovo",21.1655,42.6629,2,latlong.net,Near,,191203,"Near Pristina, Kosovo, YUG",Pristina,42.6667,21.4833,2
1994,4046,Macedonia-Yugoslavia Border,Midpoint of shared (national) border,21.3918,42.2201,5,ArcGIS and cShapes,Point along a line,,190483,YUG-MAC border. US observation post 51-E and another post in Nothern MAC,belanovce,42.2167,21.55,4
1993,4048,Adriatic Sea,Adriatic Sea,17.2903,41.8551,5,latlong.net,Sea,,189755,Adriatic Sea,Adriatic Sea,43,16,5
1994,4050,"Odessa, Ukraine","Odessa, Ukraine",30.7233,46.4825,1,latlong.net,Precise location text,,196262,"Odessa, newshore of Black Sea, UKR",Odessa,46.4667,30.7333,1
1993,4051,Dniestr River,Midpoint of river,27.2579,48.5781,5,ArcGIS and Natural Earth Data,Point along a line,,199855,"Dnestr Region, MLD",Dnestr,46.3,30.2833,3
1993,4052,China Exclusive Economic Zone,Midpoint of distant EEZ waters,119.036,24.0438,5,ArcGIS and Marine Regions,Point along a line,,164759,International waters off the coast of CHN,zhuxi,29.6,121.4,4
1993,4054,Afghanistan-Tajikistan Border,Midpoint of shared (national) border,71.3779,37.9037,5,ArcGIS and cShapes,Point along a line,,184103,TAJ-AFG border,rhuson,37.95,71.55,4
1994,4055,Afghanistan (Badakhshan [ADM1] and Takhar [ADM1]),Centroid of > ADM1,71.0903,36.9608,5,ArcGIS and GADM,> ADM1,,182663,"Baharak district of Badakhshan provice, Afghanistan & Chahaab district of Takhar",Baharak,36.8,69.4,3
1993,4058,"Strezimir, Macedonia","Strezimir, Macedonia",20.6191,41.8065,2,latlong.net,Near,,189762,"ALB-MAC border post of Strezimir, MAC",Strezimir,41.7667,20.65,4
1995,4060,Gulf of Paria,Taiping Island,114.365,10.3778,2,latlong.net,Near,,144589,Near Taiping Island within the Spratly Islands,Spratly Islands,9.85,114.3,3
1995,4061,Senkaku Islands,Senkaku Islands,123.583,25.8333,3,latlong.net,Island,,166928,Over the Sensaku Islands in the East China Sea,Senkaku,25.75,123.533,3
1996,4062,Senkaku Islands,Senkaku Islands,123.583,25.8333,3,latlong.net,Island,,166928,In the waters around the Senkaku Islands,Senkaku,25.75,123.533,4
1996,4063,Natuna Islands,Natuna Islands,108.25,4,3,latlong.net,Island,,135217,In the South China Sea near the Natuna Islands,Natuna,4,108.25,4
1995,4064,"Nanjing, China","Nanjing, China",118.797,32.0603,2,latlong.net,Near,,176278,Near China's eastern Nanjing base,nanjing,32.0333,118.767,2
1994,4065,"Liaodong Peninsula, Liaodong, China","Liaodong Peninsula, Liaodong, China",122.968,39.9829,5,latlong.net,Peninsula,,187086,Liaodong Peninsula,Liaodong,40,122.333,3
1993,4066,Ghana-Togo Border,Midpoint of shared (national) border,0.393728,8.72793,5,ArcGIS and cShapes,Point along a line,,142201,Border region of Ghana and Togo,kilinga,8.28333,0.666667,4
1993,4067,Lake Chad,Lake Chad,14.449,13.1079,2,latlong.net,Near,,148709,Chad-Niger border (Lake Chad area),Lake Chad,13.3333,14,4
1995,4068,Lake Chad,Lake Chad,14.449,13.1079,3,latlong.net,ADM2 like,,148709,Islands in Lake Chad region.,Lake Chad,13.3333,14,3
1993,4069,Congo-DRC Border,Midpoint of shared (national) border,16.2501,-2.10784,5,ArcGIS and cShapes,Point along a line,,126393,Congo River. (The border between Congo and Zaire runs down the middle of the ri,Bolobo,-2.16667,16.2333,4
1994,4071,"Iema, Angola","Iema, Angola",12.2833,-5.73333,2,latlong.net,Near,,121345,"The border between Zaire and Angola's Cabinda enclave, near Yema (Iema), approxi",Yema,-5.73333,12.2833,4
1993,4072,Iraq (Northern NFZ [> ADM1]),Centroid of Northern NFZ,43.376,36.5531,5,ArcGIS and ESRI,> ADM1,,182607,Northern Iraq,mosul,36.3167,43.1,3
1993,4073,"Port Sudan, Sudan","Port Sudan, Sudan",37.1902,19.5903,1,latlong.net,Precise location text,,158115,Port Sudan,Port Sudan,19.6,12.9833,1
1993,4075,"Shortland Island, Western, Solomon Islands","Shortland Island, Western, Solomon Islands",155.737,-7.04522,2,latlong.net,Island,,119472,Shortland Island,Shortland Island,-10.5333,151.1,3
1996,4076,Solomon Islands Territorial Waters,Centroid of largest territorial waters,159.001,-9.4848,3,ArcGIS and Marine Regions,Territorial waters,,116599,A village in the waters on Solomon Islands,Solomon Islands,-8,159,4
1994,4078,Uganda (Northern [> ADM1]),Centroid of > ADM1,32.9407,2.81584,5,ArcGIS and GADM,> ADM1,,133626,Northern Uganda. No specific location is provided by the news source.,point estimate,2.86028,32.9317,3
1994,4079,"Abderafi, Ethiopia","Abderafi, Ethiopia",36.4716,13.6981,1,latlong.net,Precise location text,,149473,"Abderafi, ETH",Abderafi,13.7333,36.45,1
1994,4081,Eritrea-Sudan Border,Midpoint of shared (national) border,36.9388,16.677,5,ArcGIS and cShapes,Point along a line,,153794,"Not specified, border area between SUD and ERI",kassala,15.4167,36.3667,4
1995,4082,"Moulhoule, Djibouti","Moulhoule, Djibouti",43.1953,12.5914,2,latlong.net,Near,,148047,Moulhoule area of northeastern DJI (on Red Sea coast).,Moulhoule,12.5667,43.2167,3
1995,4083,Uganda (Mbale [ADM1]),Centroid of ADM1,34.2966,0.969226,4,ArcGIS and GADM,ADM1,,130749,Mbale district of eastern UGA.,Mbale,1.08333,34.1667,3
1995,4084,Kenya-Uganda Border,Midpoint of shared (national) border,34.9566,1.58421,5,ArcGIS and cShapes,Point along a line,,132190,"Not specific, KEN-UGA border.",amurdat,1.93333,34.9167,4
1993,4085,Ivory Coast-Liberia Border,Midpoint of shared (national) border,-7.80414,6.12613,5,ArcGIS and cShapes,Point along a line,,138585,Bridge between Liberia and Ivory Coast,point estimate,6.105,-7.83194,4
1996,4086,"Almaty, Kazakhstan","Almaty, Kazakhstan",76.8512,43.222,1,latlong.net,Precise location text,,192034,"Almaty, Kazakhstan",Almaty,43.25,76.95,1
1999,4088,China (Fujian [ADM1]),Centroid of ADM1,117.99,26.0811,4,ArcGIS and GADM,ADM1,,167636,On China's southeaster Fujian province,Fujian,26.5333,117.833,3
1997,4089,"Hyesan, North Korea","Hyesan, North Korea",128.174,41.3874,2,latlong.net,Near,,189257,"Near Hyesan, North Korea",Hyesan,41.3833,128.167,2
1997,4090,"Trestenink, Albania","Trestenink, Albania",21.0185,40.5729,1,latlong.net,Precise location text,,188323,"Village of Trestenink, Devoll province, ALB",Devoll,40.6167,20.95,1
1995,4092,Lesbos,Lesbos,26.2777,39.2645,2,latlong.net,Island,,186173,Near Greek island of Lesbos in the Aegean Sea,Lesbos,39.1667,26.25,3
1994,4094,Cyprus,Centroid of ADM0,33.2218,35.0459,6,ArcGIS and cShapes,State,,180427,Airspace over or around Cyprus,Cyprus,35,33,5
1996,4095,Cyprus-Northern Cyprus Border,Midpoint of shared (national) border,33.4695,35.1045,5,ArcGIS and GADM,Point along a line,,180427,CYP/North Cyprus buffer zone,Cyprus,35,33,4
1997,4096,Zemo Larsi,Zemo Larsi,44.4867,42.4451,2,latlong.net,Near,,190529,"Zemo Larsi checkpoint, GRG-RUS border",Zemo Lisi,42.5733,43.8911,4
1997,4097,Albania-Macedonia Border,Midpoint of shared (national) border,20.5151,41.2606,5,ArcGIS and cShapes,Point along a line,,189042,ALB-MAC border,vevcani,41.2333,20.5667,4
1996,4098,"Rostov-on-Don, Russia","Rostov-on-Don, Russia",39.7015,47.2357,2,latlong.net,Near,,197720,"Airspace near Rostov-on-Don, RUS",Rostov-on-Don,47.2333,39.7,2
1995,4100,Danube River,Midpoint of river,20.3259,45.0941,5,ArcGIS and Natural Earth Data,Point along a line,Yugoslavia (Danube river),194801,"Near Danube River, YUG",novi sad,45.25,19.8167,4
1995,4101,Croatia (East Slavonia [> ADM1])-Hungary Border,Midpoint of shared (subnational) border,17.8547,45.7773,5,ArcGIS and GADM,Point along a line,,195516,"HUN-CRO border near East Slavonia, CRO",slavonia,45.925,17.5239,4
1995,4102,"Hercegszöntã, Hungary","Hercegszöntã, Hungary",18.9389,45.9482,2,latlong.net,Near,Near intersection of Danube on HUN-YUG border,195518,HUN-YUG border (Danube River),gerechatnajor,45.9139,18.82,4
1994,4103,"Riga, Latvia","Riga, Latvia",24.1052,56.9496,1,latlong.net,Precise location text,,211369,"Riga, LAT",Riga,56.95,24.1,1
1994,4104,Amur River,Midpoint of river,132.169,47.6919,5,ArcGIS and Natural Earth Data,Point along a line,,198625,"Agur river, Dividing Siberia and Manchuria","(amur river), blagoveshchensk",50.2667,127.517,4
1995,4105,"Vilnius, Lithuania","Vilnius, Lithuania",25.2797,54.6872,1,latlong.net,Precise location text,,208491,"Vilnius, LIT",vilnius,54.6833,25.3167,1
1993,4106,Sea of Okhotsk,Sea of Okhotsk,149.366,52.8736,5,latlong.net,Sea,,205859,Sea of Okhotsk,sea of okhotsk,55,150,5
1997,4107,Sea of Okhotsk,Sea of Okhotsk,149.366,52.8736,5,latlong.net,Sea,,205859,Sea of Okhotsk,sea of okhotsk,55,150,5
1997,4108,Ukraine Territorial Waters (Black Sea),Centroid of territorial waters,31.5175,46.1828,3,ArcGIS and Marine Regions,Territorial waters,,196264,"UKR coast, Black Sea",odessa,46.4667,30.6667,4
1996,4109,Georgia (Kvemo Kartli [ADM1]),Centroid of ADM1,44.5069,41.4939,4,ArcGIS and GADM,ADM1,,189090,"Kvemo Kartil Region, GRG",kvemo-kartilis,41.4167,45,3
1998,4111,Latvia-Russia Border,Midpoint of shared (national) border,27.7032,56.9124,5,ArcGIS and cShapes,Point along a line,,211376,RUS-LAT border,skrinzhi,56.8833,27.8333,4
1994,4113,Iraq (Abu Ghraib [ADM2]),Centroid of ADM2,44.0791,33.2228,3,ArcGIS and GADM,ADM2,,177569,"Abu Ghoraib region of Iraq, approximately thirty kilometers from Baghdad",abu ghuraib,33.3,44,3
1994,4114,Saudi Arabia-Yemen Border,Midpoint of shared (national) border,46.7261,16.0449,5,ArcGIS and cShapes,Point along a line,,153094,Air space near SAU-YEM border,malahit,16.7667,43.2833,4
1994,4116,Ghana-Togo Border,Midpoint of shared (national) border,0.393728,8.72793,5,ArcGIS and cShapes,Point along a line,,142201,Togo/Ghana border,kilinga,8.28333,0.666667,4
1997,4117,Sidudu Island,Sidudu Island,25.1306,-17.8156,2,latlong.net,Island,,104091,Situngu island on border of Botswana and Namibia,caprivi strip,-17.75,24.8667,4
1995,4118,Burundi-Tanzania Border,Midpoint of shared (national) border,30.5862,-3.46342,5,ArcGIS and cShapes,Point along a line,,124982,Apparently the alert applied to all Tanzanian forces along the border with Burun,mugunzu,-3.5,30.5333,3
1994,4119,Bakassi Peninsula (Cameroon-Nigeria Border),Midpoint of shared (territorial water) border,8.41024,4.53735,5,ArcGIS and Marine Regions,Point along a line,,136457,Bakassi Peninsula islands on Nigeria-Cameroun border,bakassi pt,4.5,8.7,3
1995,4121,Hanish Islands,Hanish Islands,42.75,13.75,2,latlong.net,Island,Dual event; Both in same islands,149486,"Hunaysh al-Kubra, Hunaysh al-Sughrah, and Zukar; three small islands in the Red",zukar,13.9667,44.2,2
1996,4122,DRC-Rwanda Border,Border point between Bukavu/Cyangugu shortest line,28.8563,-2.50797,5,ArcGIS and latlong.net,Point along a line,,125698,"The border between Rwanda and Zaire, between Bukavu, Zaire, and Cyangugu, Rwanda",bukavu,-2.5,28.8667,4
1997,4123,Burundi (Nyanza-Lac [ADM2])-Tanzania Border,Midpoint of shared (subnational) border,29.6936,-4.45225,5,ArcGIS and GADM,Point along a line,,123540,"Lake Tanganyika, on the border between Tanzania and Burundi, at Nyanza-Lac. The",nyanza-lac,-4.33333,29.6,3
1996,4124,Jebel Abu Jamal,Jebel Abu Jamal,36.4322,15.1667,2,latlong.net,Near,,151633,Sudanese border station of Jebel Abu Lamal (border with ERI).,point estimate,16.473,36.8364,4
1999,4125,Yellow Sea,Yellow Sea,123.796,35.4943,5,latlong.net,Sea,,180608,Yellow Sea,yellow sea,36,124,5
1996,4126,Tokdo Islands,Tokdo Islands,131.868,37.2427,2,latlong.net,Near,,183504,In the waters near the Takeshima Islands,takeshima islands,37.25,131.867,4
1999,4127,Okinawa Island,Okinawa Island,127.945,26.5013,4,latlong.net,Island,,168376,In waters 480 miles south of South Korea's Cheju Island and in waters 150 miles,cheju-do,33.3833,126.55,2
1998,4128,Spratly Islands,Spratly Islands,111.917,8.63333,5,latlong.net,Island,,142424,In the Spratly Islands,spratly islands,10,114,5
1997,4130,"Shali al Fil, Sudan","Shali al Fil, Sudan",34.0167,10.2333,1,latlong.net,Precise location text,,144429,"Chali, in southern Blue Nile area Sudan.",chali,10.2167,34.0167,1
1997,4132,Hanish Islands,Hanish Islands,42.75,13.75,2,latlong.net,Island,,149486,Waters around the Hanish archipelago in the Red Sea,hanish islands,13.75,42.75,3
1999,4133,"Samos, Greece","Samos, Greece",26.9778,37.7548,2,latlong.net,Near,,184014,"Near Samos, GRC",samos,37.75,26.8,2
1995,4134,Halaib Triangle,Halaib Triangle,35.7195,22.502,3,latlong.net,ADM2 like,,162432,Halaib triangle near the Red Sea (along the Egytian-Sudanese border),halaib island,22.2667,36.65,3
1997,4135,"Khon Kriel, Cambodia","Khon Kriel, Cambodia",103.588,14.2564,2,latlong.net,Near,,150328,Border between Thailand and Cambodia near Cambodian village of Khon Kriel.,point estimate,14.4183,103.667,4
1997,4136,Albania-Yugoslavia Border,Midpoint of shared (national) border,19.795,42.4837,5,ArcGIS and cShapes,Point along a line,,190480,YUG-ALB border,zogaj,42.2833,20.3,4
1998,4137,Albania-Yugoslavia (Kosovo [> ADM1]) Border,Midpoint of shared (subnational) border,20.4416,42.2725,5,ArcGIS and GADM,Point along a line,,190481,ALB-YUG border (Kosovo),Kosovo,42.5833,21.35,4
1999,4138,"Ranong, Thailand","Ranong, Thailand",98.6085,9.95287,2,latlong.net,Near,,143838,"Off the west coast of Thailand, near the coastal city of Ranong.",Ranong,9.96667,98.6333,4
1999,4140,Honduras-Nicaragua Border,Midpoint of shared (national) border,-85.4934,14.082,5,ArcGIS and cShapes,Point along a line,,149950,Along the NIC-HON border.,Guasaule,13.3167,-86.9833,4
2000,4141,Honduras-Nicaragua Border (Territorial Waters),Midpoint of shared (territorial water) border,-87.7657,13.0918,5,ArcGIS and Marine Regions,Point along a line,,148505,"Gulf of Fonseca, near the first buoy (the only buoy marking the NIC-HON naval bo",Golfo de Fonseca,13.1667,-87.6667,3
1995,4143,Cordillera del Condor,Cordillera del Condor,-78.5,-4,5,latlong.net,> ADM1,,123324,Cordillera del Condor on the ECU/PER border.,cordillera,-5,-79.8,3
1997,4144,Ecuador (Paquisha [ADM2]),Centroid of ADM2,-78.6342,-3.9299,3,latlong.net,ADM2,,124043,"Paquisha Alto, in the Cordillera del Condor region the disputed border area betw",paquisha,-3.91667,-78.6667,1
1994,4145,Costa Rica-Nicaragua Border (Territorial Waters),Midpoint of Caribbean territorial waters border,-83.5623,10.9627,5,ArcGIS and Marine Regions,Point along a line,,144913,Caribbean Sea along the border between NIC and COL Territorial Waters.,san andres y prvidencia,13.35,-81.3667,4
1995,4146,Costa Rica-Nicaragua Border,Midpoint of shared (national) border,-84.6307,11.0617,5,ArcGIS and cShapes,Point along a line,,145631,COS-NIC border,los chiles,11.0333,-84.7,4
1998,4147,Costa Rica-Nicaragua Border (San Juan River),Midpoint of shared (subnational) border,-84.0026,10.7847,5,ArcGIS and Natural Earth Data,Point along a line,,144912,San Juan River between NIC and COS.,san juan rio,10.9333,-83.7,4
1996,4148,South Georgia Island,South Georgia Island,-36.5879,-54.4296,2,latlong.net,Island,,51407,South of Georgia Islands in South Atlantic Ocean.,south georgia island,-54.25,-36.75,3
1996,4149,Columbus Channel,Columbus Channel,-61.5,10,3,latlong.net,Channel,,144238,"Columbus Channel, in the Caribbean Sea between TRI and VEN.",columbus channel,10,-61.5,4
1997,4150,Belize-Guatemala Border,Midpoint of shared (national) border,-89.1656,16.6986,5,ArcGIS and cShapes,Point along a line,,153542,"Sarstun and El Carrizal, GUA near the border with BLZ.",sarstun,15.8833,-88.9167,1
2000,4151,Belize-Guatemala Border,Midpoint of shared (national) border,-89.1656,16.6986,5,ArcGIS and cShapes,Point along a line,,153542,Along the border between BLZ and GUA. Both countries claimed the incident took p,el peten,16.8333,-90,4
2000,4152,Belize-Guatemala (El Peten [ADM1]),Midpoint of shared (subnational) border,-89.1593,16.8542,5,ArcGIS and GADM,Point along a line,,153542,Along the BLZ-GUA border. Near Santa Cruz Rio Blanco and Peten.,santa cruz rio,16.2833,-89.3667,4
1997,4154,Gulf of Paria,Gulf of Paria,-61.7941,10.4297,4,latlong.net,Gulf,,144237,Near the disputed maritime border between VEN and TRI in the Gulf of Paria.,gulf of paria,10.35,-62.1667,3
1999,4155,Gulf of Paria,Gulf of Paria,-62.3565,10.1576,4,latlong.net,Gulf,,144236,In the waters off the coast of TRI in the Gulf of Paria,gulf of paria,10.35,-62.1667,4
2000,4156,Corentyne River Mouth,Vassen Island,-57.1492,5.79306,2,latlong.net,Island,,137766,In the disputed waters at the mouth of the Corentyne River between SUR and GUY.,corentyne river,5.95,-57.1,4
1995,4158,Iraq (Northern [> ADM1]),Centroid of > ADM1,43.1377,36.0851,5,ArcGIS and GADM,Point along a line,,181887,"Three hundred kilometer front in northern Iraq, including Sinad-Haftanin, Metina",mosul,36.3333,43.1333,4
1995,4159,Afghanistan-Iran Border,Midpoint of shared (national) border,60.7024,32.6938,5,ArcGIS and cShapes,Point along a line,,176882,Iranian-Afghan border,heart,33.543,60.7614,4
1998,4160,Afghanistan-Iran Border,Midpoint of shared (national) border,60.7024,32.6938,5,ArcGIS and cShapes,Point along a line,,176882,"Iran-Afghanistan border, in province of Herat, Nimroz and Furah.",heart,33.543,60.7614,4
1999,4161,Afghanistan (Farah [ADM1] and Nimruz [ADM1]),Centroid of > ADM1,62.3066,31.7888,5,ArcGIS and GADM,> ADM1,,175445,In Afghanistan's Farah and Niroz provinces,farah,33,62.5,3
1994,4162,Lesotho-South Africa (Transkei [> ADM1]) Border,Midpoint of shared (subnational) border,27.3848,-30.3378,5,ArcGIS and GADM,Point along a line,,86095,Transkeian area of South Africa/Lesotho border,transkei,-31.5,29,3
1994,4164,"Aouzou, Chad","Aouzou, Chad",17.4307,21.8163,3,latlong.net,ADM2 like,,160955,Aouzou Strip on Libya-Chad border,aouzadag,24.5833,10.5,3
1995,4165,Bakassi Peninsula (Cameroon-Nigeria Border),Midpoint of shared (territorial water) border,8.41024,4.53735,5,ArcGIS and Marine Regions,Point along a line,,136457,Bakassi Peninsula islands on Nigeria-Cameroun border,bakassi point,4.5,8.7,3
1996,4166,Bakassi Peninsula (Cameroon-Nigeria Border),Midpoint of shared (territorial water) border,8.41024,4.53735,5,ArcGIS and Marine Regions,Point along a line,,136457,Bakassi Peninsula islands on Nigeria-Cameroun border,bakassi point,4.5,8.7,3
1995,4168,"Tsiaki, Congo","Tsiaki, Congo",13.8651,-3.71617,1,latlong.net,Precise location text,,124228,The village of Tsiaki (according to one report) or Ngasi (according to another r,tsiaki,-3.7,13.8167,1
1994,4169,Mozambique-Swaziland Border,Midpoint of shared (national) border,32.0705,-26.3725,5,ArcGIS and cShapes,Point along a line,,91865,Swaziland/Mozambique border,ingoonhama,-26.3667,32.0833,4
1996,4170,DRC-Uganda (Arua [ADM1] and Nebi [ADM1]) Border,Midpoint of shared (subnational) border,30.7799,2.61734,5,ArcGIS and GADM,Point along a line,,133622,"The northwestern part of the Zaire-Uganda border, near Arua and Nebbi.",nebbi,2.48333,31.0833,3
1997,4171,Honduras-Nicaragua Border (Territorial Waters),Midpoint of shared (territorial water) border,-87.7657,13.0918,5,ArcGIS and Marine Regions,Point along a line,,148505,Gulf of Fonseca.,gulf de fonseca,13,-87.3167,3
1997,4172,Colombia (Arauca [ADM1])-Venezuela Border,Midpoint of shared (subnational) border,-70.6053,7.06431,5,ArcGIS and GADM,Point along a line,,139899,Arauca River separating COL from VEN.,arauca river,7.4,-66.5833,4
1996,4173,Armenia (Armavir [ADM1])-Turkey Border,Midpoint of shared (subnational) border,43.8654,40.0356,5,ArcGIS and GADM,Point along a line,,187648,"Outpost of Oktemberyanskiy, border guard unit, ARM-TUR border",oktemberyanskiy,40.0833,-44,1
1997,4174,Bering Sea,Bering Sea,-178.139,56.9073,5,latlong.net,Sea,,210964,Bering Sea,bering sea,60,-175,5
1998,4175,Armenia-Azerbaijan Border,Midpoint of shared (national) border,45.7991,40.0218,5,ArcGIS and cShapes,Point along a line,,187652,Border between ARM and AZE.,norabak,40.1333,45.85,4
1997,4176,Afghanistan-Uzbekistan Border,Midpoint of shared (national) border,67.1796,37.2651,5,ArcGIS and cShapes,Point along a line,,183375,Along the border between Uzbekistan and Afghanistan,termiz,37.2333,67.2667,4
1999,4177,Kyrgyzstan (Kadamjay [ADM2]),Centroid of ADM2,71.7608,39.9876,3,ArcGIS and GADM,ADM2,,186984,In the settlement of Okchu in the Kadamzhay district of Kyrgyzstan,kadamzhayskiy,40,71.5833,3
1999,4179,Tajikistan (Tajikistan Territories [ADM1]),Centroid of ADM1,70.1647,38.8778,4,ArcGIS and GADM,ADM1,Dual event,185541,In the Garmsk and Jirgatal regions of Tajikistan,garmskiy,39.25,70.3333,1
1999,4180,Senkaku Islands,Senkaku Islands,123.583,25.8333,3,latlong.net,Island,,166928,In waters 70 miles north of the Senkaku Islands,senkaku,25.75,123.533,2
1993,4182,"Yaroun, Lebanon","Yaroun, Lebanon",35.4235,33.0801,2,MIDLOC1.1 and latlong.net,Near,,177551,No specific location,yarun,33.05,35.4,4
1997,4183,Canada (Pacific) Territorial Waters,Centroid of territorial waters,-131.336,52.0006,3,ArcGIS and Marine Regions,Territorial waters,,204578,In Canadian waters off the Coast of British Columbia.,victoria,48.4333,123.35,4
2000,4186,"Pristina, Kosovo","Pristina, Kosovo",21.1655,42.6629,8,latlong.net,Capital,,191203,Kosovo,pristina,42.6667,21.15,5
1998,4187,Djibouti-Eritrea Border,Midpoint of shared (national) border,42.7872,12.4188,5,ArcGIS and cShapes,Point along a line,,147326,"not specified, border area between DJI and ERI.",amotalale,12.4667,42.7833,4
1999,4188,"Dambala Fulchana, Kenya","Dambala Fulchana, Kenya",38.7467,3.50583,1,Geonames.org and latlong.net,Precise location text,,135078,"Dabala Fuchana, in Moyale District, northern Kenya.",moyale,3.5,39.0667,3
1998,4189,Ecuador (Zamora-Chinchipe [ADM1])-Peru (Amazonas [ADM1]),Midpoint of shared (subnational) border,-78.5543,-4.08944,5,ArcGIS and GADM,Point along a line,,123323,"Cordillera del Condor region, PER-ECU border.",cordillera,-5,-79.8,4
1996,4190,Syria-Turkey Border (Coastal),Intersection of shared (national) border at coast,35.9224,35.927,5,ArcGIS and cShapes,Point along a line,,181152,Turkish-Syrian border and the Syrian coast,qazliyah,35.85,35.85,4
1996,4191,"Orumiyeh, Iran","Orumiyeh, Iran",45.0786,37.5498,2,latlong.net,Near,,184051,"Northwestern region of Silvana in Iran, 25km. west of Orumiyeh",azarbayjan e sharqi,37.4667,45.5,3
1996,4192,"Koisanjaq, Iraq","Koisanjaq, Iraq",44.6199,36.0751,1,latlong.net,Precise location text,,181890,"Koisanjaq (Koisijak), town in Suleymanieh region of northern Iraq",koisanjaq,36.0833,44.6167,1
1997,4193,Cyprus,Centroid of ADM0,33.2218,35.0459,6,ArcGIS and cShapes,State,,180427,Unclear,cyprus,35.06,33.41,5
1996,4196,"Havana, Cuba","Havana, Cuba",-82.3666,23.1136,2,latlong.net,Near,,162916,"North of Havana, Cuba.",havana,23.1167,82.35,2
2000,4197,Russia,Centroid of ADM0,96.7883,61.8384,6,ArcGIS and cShapes,State,Dual event,218714,"Anadyr in Bering Sea, Tiksy in Northeast Siberia, Vorkuta in the Urals.",anadyr,64.75,177.483,3
